コード,修正機種名,件数,台数,最小値,最大値,合計額,中心価格,前回
p9459,ぱちんこ　冬のソナタ　ＳＷＥＥＴ　Ｗ　ＨＡＰＰＹ　Ｖｅｒｓｉｏｎ,0,0,0,0,0,1000,1000
p9408,ぱちんこ　仮面ライダー　ＧＯ‐ＯＮ　ＬＩＧＨＴ,0,0,0,0,0,1000,1000
p9291,ぱちんこ　冬のソナタ　ＦＯＲＥＶＥＲ,0,0,0,0,0,1000,1000
p9253,ぱちんこ　劇場版　魔法少女まどか☆マギカ　キュゥべえｖｅｒ．,0,0,0,0,0,1000,1000
p9216,ぱちんこ　新・必殺仕置人　ＴＵＲＢＯ,0,0,0,0,0,1000,1000
p9651,Ｐモンスターハンターダブルクロス　連続狩猟ｖｅｒ．,0,0,0,0,0,1000,1000
p9631,デジハネＰＡ火曜サスペンス劇場　最後の推理,0,0,0,0,0,1000,1000
p9611,Ｐ頭文字Ｄ,0,0,0,0,0,1000,1000
p9595,デジハネＰ蒼天の拳　双龍,0,0,0,0,0,1000,1000
p9570,Ｐ真・北斗無双　第３章　ジャギの逆襲,0,0,0,0,0,1000,1000
p9552,Ｐ北斗の拳８　究極乱世,0,0,0,0,0,1000,1000
p9541,Ｐ真・北斗無双　Ｒｅ：３１９ｖｅｒ．,0,0,0,0,0,1000,1000
p9508,Ｐ北斗の拳９　闘神,0,0,0,0,0,1000,1000
p9477,デジハネＰ〈物語〉シリーズ　セカンドシーズン,0,0,0,0,0,1000,1000
p9466,Ｐモンスターハンターダブルクロス,0,0,0,0,0,1000,1000
p9427,デジハネＰＡ真・北斗無双　第２章　連撃Ｅｄｉｔｉｏｎ,0,0,0,0,0,1000,1000
p9410,Ｐ火曜サスペンス劇場　最後の推理,0,0,0,0,0,1000,1000
p9399,Ｐ蒼天の拳　天刻,0,0,0,0,0,1000,1000
p9398,Ｐ超ハネ獣王,0,0,0,0,0,1000,1000
p9354,Ｐ北斗の拳８　救世主,0,0,0,0,0,1000,1000
p9344,Ｐ甲鉄城のカバネリ　２１９Ｖｅｒ．,0,0,0,0,0,1000,1000
p9343,Ｐ甲鉄城のカバネリ　３１９　覚醒Ｖｅｒ．,0,0,0,0,0,1000,1000
p9299,Ｐ〈物語〉シリーズ　セカンドシーズン,0,0,0,0,0,1000,1000
p9257,Ｐ真・北斗無双　第３章,0,0,0,0,0,1000,1000
p9620,ＰＦ蒼穹のファフナー３　ＥＸＯＤＵＳ　超蒼穹３８００ｖｅｒ．,0,0,0,0,0,1000,1000
p9672,ＰＡＦマクロスフロンティア４　８８ｖｅｒ．,0,0,0,0,0,1000,6333
p9673,ＰＦ戦姫絶唱シンフォギア３黄金絶唱,0,0,0,0,0,1000,1000
p9649,ＰＦからくりサーカス,0,0,0,0,0,1000,1000
p9610,ＰＦダンジョンに出会いを求めるのは間違っているだろうか,0,0,0,0,0,1000,1000
p9592,ＰＦアイドルマスター　ミリオンライブ！　Ｌｉｇｈｔ　ｖｅｒ．,0,0,0,0,0,1000,1000
p9544,ＰＦ革命機ヴァルヴレイヴ２Ｌｉｇｈｔｖｅｒ．,0,0,0,0,0,1000,1000
p9457,ＰＦマクロスフロンティア４,0,0,0,0,0,1000,1000
p9469,ＰＦ戦姫絶唱シンフォギア２　１／２３０ｖｅｒ．,0,0,0,0,0,1000,1000
p9424,ＰＦ　機動戦士ガンダムユニコーン,0,0,0,0,0,1000,1000
p9374,ＰＦゴルゴ１３疾風マシンガンｖｅｒ．,0,0,0,0,0,1000,
p9350,ＰＦ革命機ヴァルヴレイヴ２,0,0,0,0,0,1000,1000
p9294,ＰＦ戦姫絶唱シンフォギア（甘デジ）,0,0,0,0,0,1000,1000
p9298,ＰＦアイドルマスター　ミリオンライブ！,0,0,0,0,0,1000,1000
p9275,ＰＡＦ真花月２　Ｌｉｇｈｔ　Ｖｅｒ．,0,0,0,0,0,1000,1000
p9274,Ｐスーパーコンビα７５００,0,0,0,0,0,1000,1000
p9262,ＰＦタイガーマスクＷ,0,0,0,0,0,1000,1000
p9237,ＰＦゴルゴ１３　疾風ｖｅｒ．,0,0,0,0,0,1000,1000
p9210,ＰＦアクエリオンＡＬＬ　ＳＴＡＲＳ　ＬＩＧＨＴｖｅｒ．,0,0,0,0,0,1000,1000
p9702,Ｐ真・牙狼２,0,0,0,0,0,1000,15500
p9684,Ｐ牙狼ＭＵＳＥＵＭ,0,0,0,0,0,1000,1000
p9666,Ｐ激デジ　真・牙狼,0,0,0,0,0,1000,1000
p9646,Ｐ世界でいちばん強くなりたい！Ｗ悶ＳＴＡＲｖｅｒ,0,0,0,0,0,1000,1000
p9618,Ｐキャプテン翼　若林甘えんなよ！　Ｖｅｒ．,0,0,0,0,0,1000,1000
p9596,ＰＡ巨人の星　明子２０００Ｖｅｒ,0,0,0,0,0,1000,1000
p9583,ＰＡ激デジ笑ゥせぇるすまん　最後の忠告ＭＰＹ,0,0,0,0,0,1000,1000
p9535,Ｐ牙狼月虹ノ旅人絆　ＧＩＧＡ　ＧＨＯＳＴ　Ｖｅｒ．,0,0,0,0,0,1000,1000
p9534,Ｐキャプテン翼若林ｖｅｒ．,0,0,0,0,0,1000,1000
p9463,Ｐゴッドイーター究極一閃,0,0,0,0,0,1000,1000
p9434,Ｐキャプテン翼２０２０,0,0,0,0,0,1000,1000
p9418,Ｐ世界でいちばん強くなりたい！,0,0,0,0,0,1000,1000
p9400,Ｐ巨人の星　一球入魂３０００,0,0,0,0,0,1000,1000
p9394,Ｐ牙狼月虹ノ旅人,0,0,0,0,0,1000,1000
p9385,ＰＡ激デジジューシーハニー３,0,0,0,0,0,1000,1000
p9330,Ｐ笑ゥせぇるすまん　最後の忠告,0,0,0,0,0,1000,1000
p9309,Ｐジューシーハニー３,0,0,0,0,0,1000,1000
p9263,Ｐ牙狼コレクション遊タイムｖｅｒ．,0,0,0,0,0,1000,1000
p9235,Ｐ真・牙狼,0,0,0,0,0,1000,1000
p9696,Ｐストライクウィッチーズ２　１２９ｖｅｒ．,0,0,0,0,0,1000,1666
p9674,ＰＡ元祖大工の源さん２,0,0,0,0,0,1000,1000
p9652,ＰＡ新海物語,0,0,0,0,0,1000,1000
p9625,Ｐスーパー海物語　ＩＮ　沖縄５　夜桜超旋風,0,0,0,0,0,1000,1000
p9563,Ｐ大工の源さん　超韋駄天　ＢＬＡＣＫ,0,0,0,0,0,1000,1000
p9562,Ｐストライクウィッチーズ２,0,0,0,0,0,1000,1000
p9493,ＰＡ海物語３Ｒ２スペシャル,0,0,0,0,0,1000,1000
p9461,Ｐスーパー海物語　ＩＮ　沖縄５　桜ｖｅｒ．１９９,0,0,0,0,0,1000,1000
p9460,Ｐスーパー海物語　ＩＮ　沖縄５　桜ｖｅｒ．３１９,0,0,0,0,0,1000,1000
p9421,ＰＡスーパー海物語　ＩＮ　沖縄５　ｗｉｔｈ　アイマリン,0,0,0,0,0,1000,1000
p9419,Ｐまわるん大海物語４スペシャル　Ｗｉｔｈアグネス・ラム　１１９ｖｅｒ．,0,0,0,0,0,1000,1000
p9420,ＰＡスーパー海物語　ＩＮ　ＪＡＰＡＮ２　金富士　９９バージョン,0,0,0,0,0,1000,1000
p9393,Ｐスーパー海物語　ＩＮ　沖縄５,0,0,0,0,0,1000,1000
p9368,Ｐ大海物語４スペシャルＢＬＡＣＫ,0,0,0,0,0,1000,1000
