機種ID,メーカーID,メーカー名,パチンコ/スロット区分,PW機種コード,機種名,機種名カナ,検索用機種名カナ,機種グループ,機種ジャンル,販売年月日,予定販売台数,機種URL,MAX設置台数,MAX設置台数記録日,MAX設置店舗数,MAX設置店舗数記録日,備考,登録日時,更新日時,機種タイプ,確変タイプ,確率タイプ,大当り確率,高確率時確率,確変突入率,確変継続率,確変継続率タイプ,潜伏確変有無,賞球数,カウント数,ラウンド数,コインサイズ,機種タイプ,ARTタイプ,1G純増枚数,1G純増枚数タイプ,テーブル管理有無,天井ゲーム数,ボーナス獲得枚数,ART獲得枚数,ボーナス・ART確率,出玉率,型式名,検定日(東京),検定番号,PB機,管理遊技機,機種区分,設定,遊タイム,ラッキートリガー,デカヘソ,PB機,高射幸性機,メダルレス,規則区分,ボーナストリガー,みなし機,メーカーグループID,メーカーグループ名,公示日東京都検定,P区分,S区分,コード
100063,64,マルホン,1,p0066,ＣＲスパークシュート,スパークシュート,スパークシュート,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,マルホン,,,,66
100064,21,京楽,1,p0067,ＣＲスラッシュ,スラッシュ,スラッシュ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,67
100065,26,三洋,1,p0068,ＣＲセブンアップ,セブンアップ,セブンアップ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,三洋,,,,68
100066,44,豊丸,1,p0069,ＣＲセブンドーフＶ,セブンドーフ,セブンドーフ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,豊丸,,,,69
100067,48,西陣,1,p0070,ＣＲソニックシュートＶ,ソニックシュート,ソニックシュート,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,70
100068,36,タイヨーエレック,1,p0071,ＣＲそれゆけ浜ちゃん２,ソレユケハマチャン,ソレユケハマチャン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,71
100069,61,平和,1,p0072,ＣＲダンク,ダンク,ダンク,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,72
100070,49,ニューギン,1,p0073,ＣＲチェリーガール,チェリーガール,チェリーガール,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ニューギン,,,,73
100071,48,西陣,1,p0074,ＣＲチキチキドリームＲ,チキチキドリーム,チキチキドリーム,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,74
100072,61,平和,1,p0075,ＣＲチャンピオンシップＤＸ,チャンピオンシップ,チャンピオンシップ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,75
100073,33,大一,1,p0076,ＣＲちんじゃらＶ,チンジャラ,チンジャラ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,大一,,,,76
100074,36,タイヨーエレック,1,p0077,ＣＲトドの浜ちゃん２,トドノハマチャン,トドノハマチャン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,77
100075,61,平和,1,p0078,ＣＲトピックス２,トピックス,トピックス,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,78
100076,26,三洋,1,p0079,ＣＲトラベルチャンス２,トラベルチャンス,トラベルチャンス,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,三洋,,,,79
100077,16,奥村,1,p0080,ＣＲドリームチャンピオン２,ドリームチャンピオン,ドリームチャンピオン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,80
100078,33,大一,1,p0081,ＣＲどろろん忍者くんＶ,ドロロンニンジャクン,ドロロンニンジャクン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,大一,,,,81
100079,61,平和,1,p0082,ＣＲどんぶらこ,ドンブラコ,ドンブラコ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,82
100080,17,オッケー,1,p0083,ＣＲナイトファンタジー２,ナイトファンタジー,ナイトファンタジー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,83
100081,17,オッケー,1,p0084,ＣＲナスカ,ナスカ,ナスカ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,84
100082,26,三洋,1,p0085,ＣＲニューロードスター,ニューロードスター,ニューロードスター,9999,4,,,,2,41892,2,41892,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,三洋,,,,85
100083,16,奥村,1,p0086,ＣＲバーストシティー２,バーストシティー,バーストシティー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,86
100084,21,京楽,1,p0087,ＣＲパーフェクトゲーム,パーフェクトゲーム,パーフェクトゲーム,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,京楽,,,,87
100085,60,藤商事,1,p0088,ＣＲパーラームーン,パーラームーン,パーラームーン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,藤商事,,,,88
100086,36,タイヨーエレック,1,p0089,ＣＲバカづき浜ちゃん,バカヅキハマチャン,バカヅキハマチャン,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,サミー,,,,89
100087,16,奥村,1,p0090,ＣＲパチプロヒストリーＶ,パチプロヒストリー,パチプロヒストリー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,90
100088,16,奥村,1,p0091,ＣＲパチプロヒストリーＸ,パチプロヒストリー,パチプロヒストリー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,奥村,,,,91
100089,61,平和,1,p0092,ＣＲハッピーデート,ハッピーデート,ハッピーデート,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,平和,,,,92
100090,33,大一,1,p0093,ＣＲバトルヒーローＶ,バトルヒーロー,バトルヒーロー,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,大一,,,,93
100091,48,西陣,1,p0094,ＣＲハニーフラッシュ,ハニーフラッシュ,ハニーフラッシュ,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,西陣,,,,94
100092,26,三洋,1,p0095,ＣＲパニックランド２,パニックランド,パニックランド,9999,4,,,,,,,,,2014/1/14 10:21,,4,5,10,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,三洋,,,,95
